,Article,Question,Obj. 1,Obj. 2,Obj. 3,Obj. 4,Obj. 5,Obj. 6,Obj. 7,Obj. 8,Obj. 9,Obj. 10,Obj. 12,Obj. 13,Obj. 14,Obj. 15,Obj. 16,Sed Contra,Respondeo,Reply Obj. 1,Reply Obj. 2,Reply Obj. 3,Reply Obj. 4,Reply Obj. 5,Reply Obj. 6,Reply Obj. 7,Reply Obj. 8,Reply Obj. 9,Reply Obj. 10,Reply Obj. 11,Reply Obj. 12,Reply Obj. 13,Reply Obj. 14,Reply Obj. 15,Reply Obj. 16
359,"[I, Q. 75, Art. 1]
","Whether the Soul Is a Body?
"," It would seem that the soul is a body. For the soul is
 the moving principle of the body. Nor does it move unless moved.
 First, because seemingly nothing can move unless it is itself moved,
 since nothing gives what it has not; for instance, what is not hot
 does not give heat. Secondly, because if there be anything that moves
 and is not moved, it must be the cause of eternal, unchanging
 movement, as we find proved Phys. viii, 6; and this does not appear to
 be the case in the movement of an animal, which is caused by the soul.
 Therefore the soul is a mover moved. But every mover moved is a body.
 Therefore the soul is a body.
"," Further, all knowledge is caused by means of a likeness.
 But there can be no likeness of a body to an incorporeal thing. If,
 therefore, the soul were not a body, it could not have knowledge of
 corporeal things.
"," Further, between the mover and the moved there must be
 contact. But contact is only between bodies. Since, therefore, the
 soul moves the body, it seems that the soul must be a body.
",,,,,,,,,,,,,,," As everything which is in motion must be moved by
 something else, a process which cannot be prolonged indefinitely, we
 must allow that not every mover is moved. For, since to be moved is
 to pass from potentiality to actuality, the mover gives what it has
 to the thing moved, inasmuch as it causes it to be in act. But, as
 is shown in Phys. viii, 6, there is a mover which is altogether
 immovable, and not moved either essentially, or accidentally; and
 such a mover can cause an invariable movement. There is, however,
 another kind of mover, which, though not moved essentially, is moved
 accidentally; and for this reason it does not cause an invariable
 movement; such a mover, is the soul. There is, again, another mover,
 which is moved essentially--namely, the body. And because the
 philosophers of old believed that nothing existed but bodies, they
 maintained that every mover is moved; and that the soul is moved
 directly, and is a body.
"," The likeness of a thing known is not of necessity
 actually in the nature of the knower; but given a thing which knows
 potentially, and afterwards knows actually, the likeness of the thing
 known must be in the nature of the knower, not actually, but only
 potentially; thus color is not actually in the pupil of the eye, but
 only potentially. Hence it is necessary, not that the likeness of
 corporeal things should be actually in the nature of the soul, but
 that there be a potentiality in the soul for such a likeness. But the
 ancient philosophers omitted to distinguish between actuality and
 potentiality; and so they held that the soul must be a body in order
 to have knowledge of a body; and that it must be composed of the
 principles of which all bodies are formed in order to know all bodies.
"," There are two kinds of contact; of ""quantity,"" and of
 ""power."" By the former a body can be touched only by a body; by the
 latter a body can be touched by an incorporeal thing, which moves
 that body.
",,,,,,,,,,,,,
360,"[I, Q. 75, Art. 2]
","Whether the Human Soul Is Something Subsistent?
"," It would seem that the human soul is not something
 subsistent. For that which subsists is said to be ""this particular
 thing."" Now ""this particular thing"" is said not of the soul, but of
 that which is composed of soul and body. Therefore the soul is not
 something subsistent.
"," Further, everything subsistent operates. But the soul does
 not operate; for, as the Philosopher says (De Anima i, 4), ""to say
 that the soul feels or understands is like saying that the soul
 weaves or builds."" Therefore the soul is not subsistent.
"," Further, if the soul were subsistent, it would have some
 operation apart from the body. But it has no operation apart from the
 body, not even that of understanding: for the act of understanding
 does not take place without a phantasm, which cannot exist apart from
 the body. Therefore the human soul is not something subsistent.
",,,,,,,,,,,,,,," ""This particular thing"" can be taken in two senses.
 Firstly, for anything subsistent; secondly, for that which subsists,
 and is complete in a specific nature. The former sense excludes the
 inherence of an accident or of a material form; the latter excludes
 also the imperfection of the part, so that a hand can be called ""this
 particular thing"" in the first sense, but not in the second.
 Therefore, as the human soul is a part of human nature, it can indeed
 be called ""this particular thing,"" in the first sense, as being
 something subsistent; but not in the second, for in this sense, what
 is composed of body and soul is said to be ""this particular thing.""
"," Aristotle wrote those words as expressing not his own
 opinion, but the opinion of those who said that to understand is to
 be moved, as is clear from the context. Or we may reply that to
 operate per se belongs to what exists per se. But for a thing to
 exist per se, it suffices sometimes that it be not inherent, as an
 accident or a material form; even though it be part of something.
 Nevertheless, that is rightly said to subsist per se, which is
 neither inherent in the above sense, nor part of anything else. In
 this sense, the eye or the hand cannot be said to subsist per se;
 nor can it for that reason be said to operate per se. Hence the
 operation of the parts is through each part attributed to the whole.
 For we say that man sees with the eye, and feels with the hand, and
 not in the same sense as when we say that what is hot gives heat by
 its heat; for heat, strictly speaking, does not give heat. We may
 therefore say that the soul understands, as the eye sees; but it is
 more correct to say that man understands through the soul.
"," The body is necessary for the action of the intellect,
 not as its origin of action, but on the part of the object; for the
 phantasm is to the intellect what color is to the sight. Neither
 does such a dependence on the body prove the intellect to be
 non-subsistent; otherwise it would follow that an animal is
 non-subsistent, since it requires external objects of the senses
 in order to perform its act of perception.
",,,,,,,,,,,,,
361,"[I, Q. 75, Art. 3]
","Whether the Souls of Brute Animals Are Subsistent?
"," It would seem that the souls of brute animals are
 subsistent. For man is of the same genus as other animals; and,
 as we have just shown (A. 2), the soul of man is subsistent.
 Therefore the souls of other animals are subsistent.
"," Further, the relation of the sensitive faculty to sensible
 objects is like the relation of the intellectual faculty to
 intelligible objects. But the intellect, apart from the body,
 apprehends intelligible objects. Therefore the sensitive faculty,
 apart from the body, perceives sensible objects. Therefore, since
 the souls of brute animals are sensitive, it follows that they are
 subsistent; just as the human intellectual soul is subsistent.
"," Further, the soul of brute animals moves the body. But the
 body is not a mover, but is moved. Therefore the soul of brute
 animals has an operation apart from the body.
",,,,,,,,,,,,,,," Although man is of the same genus as other animals, he
 is of a different species. Specific difference is derived from the
 difference of form; nor does every difference of form necessarily
 imply a diversity of genus.
"," The relation of the sensitive faculty to the sensible
 object is in one way the same as that of the intellectual faculty to
 the intelligible object, in so far as each is in potentiality to its
 object. But in another way their relations differ, inasmuch as the
 impression of the object on the sense is accompanied with change in
 the body; so that excessive strength of the sensible corrupts sense;
 a thing that never occurs in the case of the intellect. For an
 intellect that understands the highest of intelligible objects is
 more able afterwards to understand those that are lower. If, however,
 in the process of intellectual operation the body is weary, this
 result is accidental, inasmuch as the intellect requires the
 operation of the sensitive powers in the production of the phantasms.
"," Motive power is of two kinds. One, the appetitive
 power, commands motion. The operation of this power in the sensitive
 soul is not apart from the body; for anger, joy, and passions of a
 like nature are accompanied by a change in the body. The other motive
 power is that which executes motion in adapting the members for
 obeying the appetite; and the act of this power does not consist in
 moving, but in being moved. Whence it is clear that to move is not an
 act of the sensitive soul without the body.
",,,,,,,,,,,,,
362,"[I, Q. 75, Art. 4]
","Whether the Soul Is Man?
"," It would seem that the soul is man. For it is written (2
 Cor. 4:16): ""Though our outward man is corrupted, yet the inward man
 is renewed day by day."" But that which is within man is the soul.
 Therefore the soul is the inward man.
"," Further, the human soul is a substance. But it is not a
 universal substance. Therefore it is a particular substance. Therefore
 it is a ""hypostasis"" or a person; and it can only be a human person.
 Therefore the soul is man; for a human person is a man.
",,,,,,,,,,,,,,,," According to the Philosopher (Ethic. ix, 8), a thing
 seems to be chiefly what is princip[al] in it; thus what the governor
 of a state does, the state is said to do. In this way sometimes what
 is princip[al] in man is said to be man; sometimes, indeed, the
 intellectual part which, in accordance with truth, is called the
 ""inward"" man; and sometimes the sensitive part with the body is
 called man in the opinion of those whose observation does not go
 beyond the senses. And this is called the ""outward"" man.
"," Not every particular substance is a hypostasis or a
 person, but that which has the complete nature of its species. Hence
 a hand, or a foot, is not called a hypostasis, or a person; nor,
 likewise, is the soul alone so called, since it is a part of the
 human species.
",,,,,,,,,,,,,,
363,"[I, Q. 75, Art. 5]
","Whether the Soul Is Composed of Matter and Form?
"," It would seem that the soul is composed of matter and
 form. For potentiality is opposed to actuality. Now, whatsoever
 things are in actuality participate of the First Act, which is God;
 by participation of Whom, all things are good, are beings, and are
 living things, as is clear from the teaching of Dionysius (Div. Nom.
 v). Therefore whatsoever things are in potentiality participate of
 the first potentiality. But the first potentiality is primary matter.
 Therefore, since the human soul is, after a manner, in potentiality;
 which appears from the fact that sometimes a man is potentially
 understanding; it seems that the human soul must participate of
 primary matter, as part of itself.
"," Further, wherever the properties of matter are found, there
 matter is. But the properties of matter are found in the
 soul--namely, to be a subject, and to be changed, for it is a subject
 to science, and virtue; and it changes from ignorance to knowledge
 and from vice to virtue. Therefore matter is in the soul.
"," Further, things which have no matter, have no cause of their
 existence, as the Philosopher says Metaph. viii (Did. vii, 6). But
 the soul has a cause of its existence, since it is created by God.
 Therefore the soul has matter.
"," Further, what has no matter, and is a form only, is a pure
 act, and is infinite. But this belongs to God alone. Therefore the
 soul has matter.
",,,,,,,,,,,,,," The First Act is the universal principle of all acts;
 because It is infinite, virtually ""precontaining all things,"" as
 Dionysius says (Div. Nom. v). Wherefore things participate of It not
 as a part of themselves, but by diffusion of Its processions. Now as
 potentiality is receptive of act, it must be proportionate to act.
 But the acts received which proceed from the First Infinite Act, and
 are participations thereof, are diverse, so that there cannot be one
 potentiality which receives all acts, as there is one act, from which
 all participated acts are derived; for then the receptive
 potentiality would equal the active potentiality of the First Act.
 Now the receptive potentiality in the intellectual soul is other than
 the receptive potentiality of first matter, as appears from the
 diversity of the things received by each. For primary matter receives
 individual forms; whereas the intelligence receives absolute forms.
 Hence the existence of such a potentiality in the intellectual soul
 does not prove that the soul is composed of matter and form.
"," To be a subject and to be changed belong to matter by
 reason of its being in potentiality. As, therefore, the potentiality
 of the intelligence is one thing and the potentiality of primary
 matter another, so in each is there a different reason of subjection
 and change. For the intelligence is subject to knowledge, and is
 changed from ignorance to knowledge, by reason of its being in
 potentiality with regard to the intelligible species.
"," The form causes matter to be, and so does the agent;
 wherefore the agent causes matter to be, so far as it actualizes it
 by transmuting it to the act of a form. A subsistent form, however,
 does not owe its existence to some formal principle, nor has it a
 cause transmuting it from potentiality to act. So after the words
 quoted above, the Philosopher concludes, that in things composed of
 matter and form ""there is no other cause but that which moves from
 potentiality to act; while whatsoever things have no matter are
 simply beings at once."" [*The Leonine edition has, ""simpliciter sunt
 quod vere entia aliquid."" The Parma edition of St. Thomas's
 Commentary on Aristotle has, ""statim per se unum quiddam est . . .
 et ens quiddam.""]
"," Everything participated is compared to the participator
 as its act. But whatever created form be supposed to subsist ""per
 se,"" must have existence by participation; for ""even life,"" or
 anything of that sort, ""is a participator of existence,"" as Dionysius
 says (Div. Nom. v). Now participated existence is limited by the
 capacity of the participator; so that God alone, Who is His own
 existence, is pure act and infinite. But in intellectual substances
 there is composition of actuality and potentiality, not, indeed, of
 matter and form, but of form and participated existence. Wherefore
 some say that they are composed of that ""whereby they are"" and that
 ""which they are""; for existence itself is that by which a thing is.
",,,,,,,,,,,,
364,"[I, Q. 75, Art. 6]
","Whether the Human Soul Is Incorruptible?
"," It would seem that the human soul is corruptible. For
 those things that have a like beginning and process seemingly have a
 like end. But the beginning, by generation, of men is like that of
 animals, for they are made from the earth. And the process of life is
 alike in both; because ""all things breathe alike, and man hath nothing
 more than the beast,"" as it is written (Eccles. 3:19). Therefore, as
 the same text concludes, ""the death of man and beast is one, and the
 condition of both is equal."" But the souls of brute animals are
 corruptible. Therefore, also, the human soul is corruptible.
"," Further, whatever is out of nothing can return to
 nothingness; because the end should correspond to the beginning. But
 as it is written (Wis. 2:2), ""We are born of nothing""; which is true,
 not only of the body, but also of the soul. Therefore, as is
 concluded in the same passage, ""After this we shall be as if we had
 not been,"" even as to our soul.
"," Further, nothing is without its own proper operation. But the
 operation proper to the soul, which is to understand through a
 phantasm, cannot be without the body. For the soul understands
 nothing without a phantasm; and there is no phantasm without the body
 as the Philosopher says (De Anima i, 1). Therefore the soul cannot
 survive the dissolution of the body.
",,,,,,,,,,,,,,," Solomon reasons thus in the person of the foolish, as
 expressed in the words of Wisdom 2. Therefore the saying that man and
 animals have a like beginning in generation is true of the body; for
 all animals alike are made of earth. But it is not true of the soul.
 For the souls of brutes are produced by some power of the body;
 whereas the human soul is produced by God. To signify this it is
 written as to other animals: ""Let the earth bring forth the living
 soul"" (Gen. 1:24): while of man it is written (Gen. 2:7) that ""He
 breathed into his face the breath of life."" And so in the last
 chapter of Ecclesiastes (12:7) it is concluded: ""(Before) the dust
 return into its earth from whence it was; and the spirit return to
 God Who gave it."" Again the process of life is alike as to the body,
 concerning which it is written (Eccles. 3:19): ""All things breathe
 alike,"" and (Wis. 2:2), ""The breath in our nostrils is smoke."" But
 the process is not alike of the soul; for man is intelligent, whereas
 animals are not. Hence it is false to say: ""Man has nothing more than
 beasts."" Thus death comes to both alike as to the body, by not as to
 the soul.
"," As a thing can be created by reason, not of a passive
 potentiality, but only of the active potentiality of the Creator, Who
 can produce something out of nothing, so when we say that a thing can
 be reduced to nothing, we do not imply in the creature a potentiality
 to non-existence, but in the Creator the power of ceasing to sustain
 existence. But a thing is said to be corruptible because there is in
 it a potentiality to non-existence.
"," To understand through a phantasm is the proper
 operation of the soul by virtue of its union with the body. After
 separation from the body it will have another mode of understanding,
 similar to other substances separated from bodies, as will appear
 later on (Q. 89, A. 1).
",,,,,,,,,,,,,
365,"[I, Q. 75, Art. 7]
","Whether the Soul Is of the Same Species As an Angel?
"," It would seem that the soul is of the same species as an
 angel. For each thing is ordained to its proper end by the nature of
 its species, whence is derived its inclination for that end. But the
 end of the soul is the same as that of an angel--namely, eternal
 happiness. Therefore they are of the same species.
"," Further, the ultimate specific difference is the noblest,
 because it completes the nature of the species. But there is nothing
 nobler either in an angel or in the soul than their intellectual
 nature. Therefore the soul and the angel agree in the ultimate
 specific difference: therefore they belong to the same species.
"," Further, it seems that the soul does not differ from an angel
 except in its union with the body. But as the body is outside the
 essence of the soul, it seems that it does not belong to its species.
 Therefore the soul and angel are of the same species.
",,,,,,,,,,,,,,," This argument proceeds from the proximate and natural
 end. Eternal happiness is the ultimate and supernatural end.
"," The ultimate specific difference is the noblest because
 it is the most determinate, in the same way as actuality is nobler
 than potentiality. Thus, however, the intellectual faculty is not the
 noblest, because it is indeterminate and common to many degrees of
 intellectuality; as the sensible faculty is common to many degrees in
 the sensible nature. Hence, as all sensible things are not of one
 species, so neither are all intellectual things of one species.
"," The body is not of the essence of the soul; but the
 soul by the nature of its essence can be united to the body, so that,
 properly speaking, not the soul alone, but the ""composite,"" is the
 species. And the very fact that the soul in a certain way requires
 the body for its operation, proves that the soul is endowed with a
 grade of intellectuality inferior to that of an angel, who is not
 united to a body.
",,,,,,,,,,,,,
366,"[I, Q. 76, Art. 1]
","Whether the Intellectual Principle Is United to the Body As Its Form?
"," It seems that the intellectual principle is not united to
 the body as its form. For the Philosopher says (De Anima iii, 4) that
 the intellect is ""separate,"" and that it is not the act of any body.
 Therefore it is not united to the body as its form.
"," Further, every form is determined according to the nature
 of the matter of which it is the form; otherwise no proportion would
 be required between matter and form. Therefore if the intellect were
 united to the body as its form, since every body has a determinate
 nature, it would follow that the intellect has a determinate nature;
 and thus, it would not be capable of knowing all things, as is clear
 from what has been said (Q. 75, A. 2); which is contrary to the
 nature of the intellect. Therefore the intellect is not united to
 the body as its form.
"," Further, whatever receptive power is an act of a body,
 receives a form materially and individually; for what is received must
 be received according to the condition of the receiver. But the form
 of the thing understood is not received into the intellect materially
 and individually, but rather immaterially and universally: otherwise
 the intellect would not be capable of the knowledge of immaterial and
 universal objects, but only of individuals, like the senses. Therefore
 the intellect is not united to the body as its form.
"," Further, power and action have the same subject; for the same
 subject is what can, and does, act. But the intellectual action is
 not the action of a body, as appears from above (Q. 75, A. 2).
 Therefore neither is the intellectual faculty a power of the body.
 But virtue or power cannot be more abstract or more simple than the
 essence from which the faculty or power is derived. Therefore neither
 is the substance of the intellect the form of a body.
"," Further, whatever has per se existence is not united to the
 body as its form; because a form is that by which a thing exists: so
 that the very existence of a form does not belong to the form by
 itself. But the intellectual principle has per se existence and is
 subsistent, as was said above (Q. 75, A. 2). Therefore it is not
 united to the body as its form.
"," Further, whatever exists in a thing by reason of its nature
 exists in it always. But to be united to matter belongs to the form
 by reason of its nature; because form is the act of matter, not by an
 accidental quality, but by its own essence; otherwise matter and form
 would not make a thing substantially one, but only accidentally one.
 Therefore a form cannot be without its own proper matter. But the
 intellectual principle, since it is incorruptible, as was shown above
 (Q. 75, A. 6), remains separate from the body, after the dissolution
 of the body. Therefore the intellectual principle is not united to
 the body as its form.
",,,,,,,,,,,," As the Philosopher says (Phys. ii, 2), the ultimate
 natural form to which the consideration of the natural philosopher is
 directed is indeed separate; yet it exists in matter. He proves this
 from the fact that ""man and the sun generate man from matter."" It is
 separate indeed according to its intellectual power, because the
 intellectual power does not belong to a corporeal organ, as the power
 of seeing is the act of the eye; for understanding is an act which
 cannot be performed by a corporeal organ, like the act of seeing. But
 it exists in matter so far as the soul itself, to which this power
 belongs, is the form of the body, and the term of human generation.
 And so the Philosopher says (De Anima iii) that the intellect is
 separate, because it is not the faculty of a corporeal organ.
"," The human soul, by reason of its perfection, is not a
 form merged in matter, or entirely embraced by matter. Therefore
 there is nothing to prevent some power thereof not being the act of
 the body, although the soul is essentially the form of the body.
"," The soul communicates that existence in which it
 subsists to the corporeal matter, out of which and the intellectual
 soul there results unity of existence; so that the existence of the
 whole composite is also the existence of the soul. This is not the
 case with other non-subsistent forms. For this reason the human soul
 retains its own existence after the dissolution of the body; whereas
 it is not so with other forms.
"," To be united to the body belongs to the soul by reason
 of itself, as it belongs to a light body by reason of itself to be
 raised up. And as a light body remains light, when removed from its
 proper place, retaining meanwhile an aptitude and an inclination for
 its proper place; so the human soul retains its proper existence when
 separated from the body, having an aptitude and a natural inclination
 to be united to the body.
",,,,,,,,,,,,
367,"[I, Q. 76, Art. 2]
","Whether the Intellectual Principle Is Multiplied According to the
"," It would seem that the intellectual principle is not
 multiplied according to the number of bodies, but that there is one
 intellect in all men. For an immaterial substance is not multiplied
 in number within one species. But the human soul is an immaterial
 substance; since it is not composed of matter and form as was shown
 above (Q. 75, A. 5). Therefore there are not many human souls in
 one species. But all men are of one species. Therefore there is but
 one intellect in all men.
"," Further, when the cause is removed, the effect is also
 removed. Therefore, if human souls were multiplied according to the
 number of bodies, it follows that the bodies being removed, the number
 of souls would not remain; but from all the souls there would be but a
 single remainder. This is heretical; for it would do away with the
 distinction of rewards and punishments.
"," Further, if my intellect is distinct from your intellect, my
 intellect is an individual, and so is yours; for individuals are
 things which differ in number but agree in one species. Now whatever
 is received into anything must be received according to the condition
 of the receiver. Therefore the species of things would be received
 individually into my intellect, and also into yours: which is
 contrary to the nature of the intellect which knows universals.
"," Further, the thing understood is in the intellect which
 understands. If, therefore, my intellect is distinct from yours, what
 is understood by me must be distinct from what is understood by you;
 and consequently it will be reckoned as something individual, and be
 only potentially something understood; so that the common intention
 will have to be abstracted from both; since from things diverse
 something intelligible common to them may be abstracted. But this is
 contrary to the nature of the intellect; for then the intellect would
 seem not to be distinct from the imagination. It seems, therefore, to
 follow that there is one intellect in all men.
"," Further, when the disciple receives knowledge from the
 master, it cannot be said that the master's knowledge begets
 knowledge in the disciple, because then also knowledge would be an
 active form, such as heat is, which is clearly false. It seems,
 therefore, that the same individual knowledge which is in the master
 is communicated to the disciple; which cannot be, unless there is
 one intellect in both. Seemingly, therefore, the intellect of the
 disciple and master is but one; and, consequently, the same applies
 to all men.
"," Further, Augustine (De Quant. Animae xxxii) says: ""If I were
 to say that there are many human souls, I should laugh at myself.""
 But the soul seems to be one chiefly on account of the intellect.
 Therefore there is one intellect of all men.
",,,,,,,,,,,," Although the intellectual soul, like an angel, has no
 matter from which it is produced, yet it is the form of a certain
 matter; in which it is unlike an angel. Therefore, according to the
 division of matter, there are many souls of one species; while it is
 quite impossible for many angels to be of one species.
"," Everything has unity in the same way that it has being;
 consequently we must judge of the multiplicity of a thing as we judge
 of its being. Now it is clear that the intellectual soul, by virtue
 of its very being, is united to the body as its form; yet, after the
 dissolution of the body, the intellectual soul retains its own being.
 In like manner the multiplicity of souls is in proportion to the
 multiplicity of the bodies; yet, after the dissolution of the bodies,
 the souls retain their multiplied being.
"," Individuality of the intelligent being, or of the
 species whereby it understands, does not exclude the understanding
 of universals; otherwise, since separate intellects are subsistent
 substances, and consequently individual, they could not understand
 universals. But the materiality of the knower, and of the species
 whereby it knows, impedes the knowledge of the universal. For as
 every action is according to the mode of the form by which the agent
 acts, as heating is according to the mode of the heat; so knowledge
 is according to the mode of the species by which the knower knows.
 Now it is clear that common nature becomes distinct and multiplied by
 reason of the individuating principles which come from the matter.
 Therefore if the form, which is the means of knowledge, is
 material--that is, not abstracted from material conditions--its
 likeness to the nature of a species or genus will be according to the
 distinction and multiplication of that nature by means of
 individuating principles; so that knowledge of the nature of a thing
 in general will be impossible. But if the species be abstracted from
 the conditions of individual matter, there will be a likeness of the
 nature without those things which make it distinct and multiplied;
 thus there will be knowledge of the universal. Nor does it matter,
 as to this particular point, whether there be one intellect or many;
 because, even if there were but one, it would necessarily be an
 individual intellect, and the species whereby it understands, an
 individual species.
"," Whether the intellect be one or many, what is
 understood is one; for what is understood is in the intellect, not
 according to its own nature, but according to its likeness; for ""the
 stone is not in the soul, but its likeness is,"" as is said, De
 Anima iii, 8. Yet it is the stone which is understood, not the
 likeness of the stone; except by a reflection of the intellect on
 itself: otherwise, the objects of sciences would not be things, but
 only intelligible species. Now it happens that different things,
 according to different forms, are likened to the same thing. And
 since knowledge is begotten according to the assimilation of the
 knower to the thing known, it follows that the same thing may happen
 to be known by several knowers; as is apparent in regard to the
 senses; for several see the same color, according to different
 likenesses. In the same way several intellects understand one object
 understood. But there is this difference, according to the opinion of
 Aristotle, between the sense and the intelligence--that a thing is
 perceived by the sense according to the disposition which it has
 outside the soul--that is, in its individuality; whereas the nature
 of the thing understood is indeed outside the soul, but the mode
 according to which it exists outside the soul is not the mode
 according to which it is understood. For the common nature is
 understood as apart from the individuating principles; whereas such
 is not its mode of existence outside the soul. But, according to the
 opinion of Plato, the thing understood exists outside the soul in the
 same condition as those under which it is understood; for he supposed
 that the natures of things exist separate from matter.
"," One knowledge exists in the disciple and another in the
 master. How it is caused will be shown later on (Q. 117, A. 1).
"," Augustine denies a plurality of souls, that would
 involve a plurality of species.
",,,,,,,,,,
368,"[I, Q. 76, Art. 3]
","Whether Besides the Intellectual Soul There Are in Man Other Souls
"," It would seem that besides the intellectual soul there
 are in man other souls essentially different from one another, such
 as the sensitive soul and the nutritive soul. For corruptible and
 incorruptible are not of the same substance. But the intellectual
 soul is incorruptible; whereas the other souls, as the sensitive and
 the nutritive, are corruptible, as was shown above (Q. 75, A. 6).
 Therefore in man the essence of the intellectual soul, the sensitive
 soul, and the nutritive soul, cannot be the same.
"," Further, if it be said that the sensitive soul in man is
 incorruptible; on the contrary, ""corruptible and incorruptible differ
 generically,"" says the Philosopher, Metaph. x (Did. ix, 10). But
 the sensitive soul in the horse, the lion, and other brute animals,
 is corruptible. If, therefore, in man it be incorruptible, the
 sensitive soul in man and brute animals will not be of the same
 genus. Now an animal is so called from its having a sensitive soul;
 and, therefore, ""animal"" will not be one genus common to man and
 other animals, which is absurd.
"," Further, the Philosopher says, Metaph. viii (Did. vii, 2),
 that the genus is taken from the matter, and difference from the
 form. But ""rational,"" which is the difference constituting man, is
 taken from the intellectual soul; while he is called ""animal"" by
 reason of his having a body animated by a sensitive soul. Therefore
 the intellectual soul may be compared to the body animated by a
 sensitive soul, as form to matter. Therefore in man the intellectual
 soul is not essentially the same as the sensitive soul, but
 presupposes it as a material subject.
",,,,,,,,,,,,,,," The sensitive soul is incorruptible, not by reason of
 its being sensitive, but by reason of its being intellectual. When,
 therefore, a soul is sensitive only, it is corruptible; but when with
 sensibility it has also intellectuality, it is incorruptible. For
 although sensibility does not give incorruptibility, yet it cannot
 deprive intellectuality of its incorruptibility.
"," Not forms, but composites, are classified either
 generically or specifically. Now man is corruptible like other
 animals. And so the difference of corruptible and incorruptible which
 is on the part of the forms does not involve a generic difference
 between man and the other animals.
"," The embryo has first of all a soul which is merely
 sensitive, and when this is removed, it is supplanted by a more
 perfect soul, which is both sensitive and intellectual: as will be
 shown further on (Q. 118, A. 2, ad 2).
"," We must not consider the diversity of natural things as
 proceeding from the various logical notions or intentions, which flow
 from our manner of understanding, because reason can apprehend one
 and the same thing in various ways. Therefore since, as we have said,
 the intellectual soul contains virtually what belongs to the
 sensitive soul, and something more, reason can consider separately
 what belongs to the power of the sensitive soul, as something
 imperfect and material. And because it observes that this is
 something common to man and to other animals, it forms thence the
 notion of the genus; while that wherein the intellectual soul
 exceeds the sensitive soul, it takes as formal and perfecting;
 thence it gathers the ""difference"" of man.
",,,,,,,,,,,,
369,"[I, Q. 76, Art. 4]
","Whether in Man There Is Another Form Besides the Intellectual Soul?
"," It would seem that in man there is another form besides
 the intellectual soul. For the Philosopher says (De Anima ii, 1), that
 ""the soul is the act of a physical body which has life potentially.""
 Therefore the soul is to the body as a form of matter. But the body
 has a substantial form by which it is a body. Therefore some other
 substantial form in the body precedes the soul.
"," Further, man moves himself as every animal does. Now
 everything that moves itself is divided into two parts, of which one
 moves, and the other is moved, as the Philosopher proves (Phys. viii,
 5). But the part which moves is the soul. Therefore the other part
 must be such that it can be moved. But primary matter cannot be moved
 (Phys. v, 1), since it is a being only potentially; indeed everything
 that is moved is a body. Therefore in man and in every animal there
 must be another substantial form, by which the body is constituted.
"," Further, the order of forms depends on their relation to
 primary matter; for ""before"" and ""after"" apply by comparison to some
 beginning. Therefore if there were not in man some other substantial
 form besides the rational soul, and if this were to inhere immediately
 to primary matter; it would follow that it ranks among the most
 imperfect forms which inhere to matter immediately.
"," Further, the human body is a mixed body. Now mingling does
 not result from matter alone; for then we should have mere
 corruption. Therefore the forms of the elements must remain in a
 mixed body; and these are substantial forms. Therefore in the human
 body there are other substantial forms besides the intellectual soul.
",,,,,,,,,,,,,," Aristotle does not say that the soul is the act of a
 body only, but ""the act of a physical organic body which has life
 potentially""; and that this potentiality ""does not reject the soul.""
 Whence it is clear that when the soul is called the act, the soul
 itself is included; as when we say that heat is the act of what is
 hot, and light of what is lucid; not as though lucid and light were
 two separate things, but because a thing is made lucid by the light.
 In like manner, the soul is said to be the ""act of a body,"" etc.,
 because by the soul it is a body, and is organic, and has life
 potentially. Yet the first act is said to be in potentiality to the
 second act, which is operation; for such a potentiality ""does not
 reject""--that is, does not exclude--the soul.
"," The soul does not move the body by its essence, as the
 form of the body, but by the motive power, the act of which
 presupposes the body to be already actualized by the soul: so that
 the soul by its motive power is the part which moves; and the animate
 body is the part moved.
"," We observe in matter various degrees of perfection, as
 existence, living, sensing, and understanding. Now what is added is
 always more perfect. Therefore that form which gives matter only the
 first degree of perfection is the most imperfect; while that form
 which gives the first, second, and third degree, and so on, is the
 most perfect: and yet it inheres to matter immediately.
"," Avicenna held that the substantial forms of the
 elements remain entire in the mixed body; and that the mixture is
 made by the contrary qualities of the elements being reduced to an
 average. But this is impossible, because the various forms of the
 elements must necessarily be in various parts of matter; for the
 distinction of which we must suppose dimensions, without which matter
 cannot be divisible. Now matter subject to dimension is not to be
 found except in a body. But various bodies cannot be in the same
 place. Whence it follows that elements in the mixed body would be
 distinct as to situation. And then there would not be a real mixture
 which is in respect of the whole; but only a mixture apparent to
 sense, by the juxtaposition of particles.
",,,,,,,,,,,,
